mode,language,scenario,time_mean,time_cv%,pkg_mean,pkg_cv%,cores_mean,cores_cv%,gpu_mean,gpu_cv%,ram_mean,ram_cv%,psys_mean,psys_cv%,cycles_mean,cycles_cv%,l1d_misses_mean,l1d_misses_cv%,l1i_misses_mean,l1i_misses_cv%,llc_misses_mean,llc_misses_cv%,branch_misses_mean,branch_misses_cv%,c1_core_residency_mean,c1_core_residency_cv%,c3_core_residency_mean,c3_core_residency_cv%,c6_core_residency_mean,c6_core_residency_cv%,c7_core_residency_mean,c7_core_residency_cv%,c2_pkg_residency_mean,c2_pkg_residency_cv%,c3_pkg_residency_mean,c3_pkg_residency_cv%,c6_pkg_residency_mean,c6_pkg_residency_cv%,c8_pkg_residency_mean,c8_pkg_residency_cv%,c10_pkg_residency_mean,c10_pkg_residency_cv%
internal,cpp,regex-redux,1113038.333,2.044,75.666,0.83,63.28,0.916,0.0,0.0,1.125,1.895,0.0,0.0,17993498366.983,1.47,91053780.783,3.201,25648672.917,5.815,1798474.2,8.726,196552368.25,0.636,0.0,0.0,27402949.333,32.408,792808131.2,16.345,10154406825.6,3.545,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,reverse-complement,85614.983,10.75,3.381,4.653,2.444,7.495,0.0,0.0,0.119,5.626,0.0,0.0,473807483.267,4.699,8446915.8,1.728,3454344.7,11.06,849796.167,2.63,466330.217,10.9,0.0,0.0,7426431.467,59.176,326845990.4,11.719,793063493.867,15.827,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cpp,spectral-norm,152354.0,7.899,16.886,5.943,15.253,5.694,0.0,0.0,0.089,17.642,0.0,0.0,7325020245.65,8.065,87742951.683,2.922,1879941.767,30.289,33593.133,251.78,548138.2,103.291,0.0,0.0,278345.067,180.433,5305766.933,38.532,7330577.6,41.204,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,binary-trees,3219744.95,7.649,273.733,6.952,235.46,6.894,0.0,0.0,8.844,7.566,0.0,0.0,77937982505.5,8.958,907697132.833,5.399,145645908.367,10.971,45572409.2,3.746,72991262.267,10.55,0.0,0.0,152019247.467,20.213,4068102360.0,21.415,14581650029.333,11.062,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,fannkuch-redux,3071505.433,0.879,360.939,0.752,326.958,0.753,0.0,0.0,1.769,2.079,0.0,0.0,152560131107.2,0.695,18873821.65,27.078,32689131.233,5.665,530425.05,54.41,2310042226.3,0.085,0.0,0.0,3979564.267,42.346,117194002.667,30.14,26421378.667,118.351,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,fasta,223392.333,10.53,18.167,7.839,15.736,7.529,0.0,0.0,0.17,9.852,0.0,0.0,4210438770.5,5.712,15183361.217,11.157,8128742.367,19.179,160884.467,61.976,53110524.233,1.552,0.0,0.0,49181150.933,32.367,145663894.933,25.812,889577605.867,31.839,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,k-nucleotide,735671.233,5.351,55.109,5.809,46.872,6.208,0.0,0.0,1.036,3.213,0.0,0.0,11502520812.083,8.414,269596794.3,2.525,13926144.2,15.327,2575360.667,11.917,40304244.3,2.977,0.0,0.0,16778018.667,34.166,446539874.667,23.828,5625940664.0,8.878,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,mandelbrot,903350.633,4.091,103.484,4.064,93.513,4.071,0.0,0.0,0.543,5.287,0.0,0.0,43606075577.7,3.473,40473266.35,7.221,14882190.1,15.01,469337.1,33.966,22964492.333,6.504,0.0,0.0,2023198.933,80.229,46579202.667,43.036,220483597.333,26.515,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,n-body,3663130.533,0.499,135.453,1.241,94.937,1.731,0.0,0.0,2.107,1.989,0.0,0.0,17375759959.483,2.371,18670280.267,40.45,65431807.583,5.305,761197.067,59.915,8846477.367,26.984,0.0,0.0,94353049.6,11.836,2202877717.867,10.852,54178715262.933,0.943,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,pidigits,535390.717,2.752,20.411,1.105,14.522,1.599,0.0,0.0,0.306,3.112,0.0,0.0,2467731590.9,1.538,193681764.433,0.355,10004805.717,12.398,93611.783,33.313,1902597.65,10.298,0.0,0.0,17428439.467,37.076,344302813.867,18.31,7832626678.4,2.841,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,regex-redux,1234230.633,2.844,81.203,1.853,67.493,1.854,0.0,0.0,1.113,2.539,0.0,0.0,18574047467.367,2.377,103934176.267,14.759,23936956.517,13.775,921539.483,23.988,196442077.183,0.795,0.0,0.0,65048774.4,52.368,747073098.667,17.551,12103491229.333,4.774,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,cs,reverse-complement,42242.55,9.994,2.305,10.117,1.862,10.536,0.0,0.0,0.057,7.785,0.0,0.0,435972437.15,14.492,4595783.433,8.686,1556637.817,45.584,512554.483,7.965,763703.717,21.046,0.0,0.0,3602767.467,123.752,147849865.6,19.641,196923776.0,23.882,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,java,binary-trees,1486395.95,3.203,138.258,4.272,120.147,4.5,0.0,0.0,5.388,1.887,0.0,0.0,43973920736.933,5.526,430717780.733,3.197,34391806.233,32.991,20614591.45,3.975,13487571.733,30.735,0.0,0.0,23399580.267,31.837,683166278.4,17.949,4340790851.2,8.129,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,java,fannkuch-redux,3940155.717,0.46,440.007,0.236,396.407,0.226,0.0,0.0,2.275,1.744,0.0,0.0,181929045755.433,0.285,25702433.383,30.741,44013554.133,4.636,735814.583,43.834,2322096031.667,0.102,0.0,0.0,6353936.533,46.261,295065651.2,23.322,695861184.0,25.811,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,java,mandelbrot,1399829.95,1.418,164.308,0.923,148.829,0.911,0.0,0.0,0.867,4.485,0.0,0.0,69250090039.717,0.957,48210805.283,13.932,22870717.933,21.827,1060976.7,40.548,19040511.517,9.195,0.0,0.0,3927401.6,55.594,225691675.733,10.736,147430705.067,33.367,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,java,n-body,3310794.867,1.916,122.582,1.908,85.966,2.109,0.0,0.0,1.901,2.533,0.0,0.0,15694096139.717,2.619,16242778.9,37.74,59821591.683,9.806,650570.133,55.971,7812198.033,25.198,0.0,0.0,90158408.0,17.183,2070725150.933,11.643,48878796138.133,2.199,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,java,spectral-norm,581981.8,4.123,62.97,2.977,56.568,2.892,0.0,0.0,0.349,10.332,0.0,0.0,26180113413.3,1.9,109258510.217,6.837,21186053.533,17.581,197765.85,86.803,2780564.383,42.276,0.0,0.0,56052539.2,19.429,160731238.4,125.294,17423321.067,40.305,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,binary-trees,680416.783,2.672,66.25,1.848,58.54,1.837,0.0,0.0,1.156,2.357,0.0,0.0,18765848382.733,2.653,195805275.883,4.293,16252772.417,7.355,3425745.467,7.331,12749069.65,18.963,0.0,0.0,11817574.4,46.323,336092789.867,12.383,2248771516.8,12.051,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,fannkuch-redux,2749391.55,0.996,322.916,0.498,292.506,0.453,0.0,0.0,1.582,2.468,0.0,0.0,134796472563.7,0.359,16638187.717,28.423,29925339.133,6.085,467325.117,55.169,2682225852.15,0.208,0.0,0.0,4850870.4,45.153,70241027.2,47.244,558084306.667,51.858,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,fasta,342427.817,0.923,12.649,2.638,8.886,3.717,0.0,0.0,0.218,4.012,0.0,0.0,1606726428.233,5.642,14043129.433,10.744,9554428.367,9.605,222210.3,40.382,1576956.033,33.307,0.0,0.0,11111644.8,45.206,246550806.933,21.222,4936379233.6,1.959,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,k-nucleotide,535058.25,4.537,40.524,1.71,34.633,1.583,0.0,0.0,0.41,6.342,0.0,0.0,9035927745.167,2.848,284534736.55,1.943,11316343.767,11.859,1284697.767,21.878,36504862.683,2.412,0.0,0.0,16321258.667,35.97,370111361.6,25.552,4086453066.133,10.386,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,mandelbrot,375117.583,1.939,43.478,1.064,39.363,0.991,0.0,0.0,0.236,4.614,0.0,0.0,18463166298.35,1.173,35686056.767,4.322,6581402.567,11.216,352200.05,22.33,5122822.4,10.477,0.0,0.0,3517143.467,66.084,26059515.733,28.678,70328745.6,76.28,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,n-body,2037382.433,0.316,78.23,0.879,55.709,1.183,0.0,0.0,1.166,1.551,0.0,0.0,9596864424.833,1.822,9183084.317,33.216,36442033.85,4.63,363544.617,51.987,4609157.767,21.441,0.0,0.0,63471720.0,21.044,1325715500.267,10.857,29992724436.8,0.761,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,pidigits,530414.95,1.819,21.178,4.124,15.343,5.34,0.0,0.0,0.308,8.704,0.0,0.0,2514597467.5,9.559,256694739.85,1.695,10381625.717,13.406,156721.233,165.725,2255193.8,60.655,0.0,0.0,15070895.467,37.065,365308197.333,19.065,7701099123.733,2.118,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,regex-redux,881328.25,1.733,68.066,1.801,58.294,1.987,0.0,0.0,0.862,2.45,0.0,0.0,18902579544.7,2.292,36238475.95,8.071,18265091.533,7.761,1493737.483,11.443,196980620.833,0.953,0.0,0.0,27816668.8,24.476,579061830.933,15.537,6431121496.0,4.892,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,reverse-complement,39423.85,36.008,1.356,6.418,0.924,18.708,0.0,0.0,0.06,27.088,0.0,0.0,253450272.283,13.787,6324952.233,15.253,3634924.517,29.087,575734.017,17.496,450563.167,41.535,0.0,0.0,34001876.267,25.306,194994430.4,47.75,121444108.267,47.484,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,c,spectral-norm,143334.917,4.976,15.694,2.85,14.145,2.628,0.0,0.0,0.082,5.429,0.0,0.0,6862775209.55,4.145,87221690.8,0.99,2045597.667,16.371,35373.6,29.586,493691.467,13.724,0.0,0.0,3227319.467,46.595,27206797.867,30.019,36878745.067,51.477,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,binary-trees,2104518.85,0.606,85.964,1.44,62.572,1.872,0.0,0.0,1.712,2.472,0.0,0.0,10156346505.067,3.198,212252857.733,2.592,43121195.483,5.835,3711573.25,10.638,7811419.9,24.19,0.0,0.0,69067996.267,23.312,1466912489.6,13.108,30702938004.8,1.018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,fannkuch-redux,2881384.617,0.887,337.458,0.553,305.584,0.528,0.0,0.0,1.655,2.3,0.0,0.0,140716580505.15,0.457,17006291.75,27.473,31276486.333,5.815,469322.65,54.752,2500246918.45,0.827,0.0,0.0,6711291.2,53.858,93156069.333,28.125,636661899.733,48.054,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,fasta,201552.6,2.123,13.746,3.143,11.541,3.697,0.0,0.0,0.142,3.97,0.0,0.0,3215497552.233,1.926,14789852.017,4.564,13576824.95,5.698,208394.2,21.593,55734727.533,0.499,0.0,0.0,16675538.667,27.835,443655954.667,10.363,1032235000.0,7.186,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,k-nucleotide,482997.75,1.854,39.267,1.626,33.871,1.646,0.0,0.0,0.624,4.459,0.0,0.0,13802125074.55,1.143,284494418.067,0.867,13508736.6,7.971,2020532.85,10.352,25717144.85,2.9,0.0,0.0,22203938.133,24.012,757519500.8,13.714,2628909535.467,4.138,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,mandelbrot,1284276.7,1.217,142.355,0.891,128.16,0.858,0.0,0.0,0.775,4.125,0.0,0.0,59351370302.733,0.793,42337309.833,19.156,14845339.35,17.371,492232.817,36.296,40128068.583,3.602,0.0,0.0,4198539.2,46.804,57091417.067,30.674,277392524.267,36.082,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,n-body,1879931.983,0.554,75.839,1.871,55.061,2.486,0.0,0.0,1.082,3.096,0.0,0.0,8918127258.05,3.746,9664871.05,61.527,33739850.917,5.486,412933.433,87.575,4618399.067,40.132,0.0,0.0,58487988.267,17.213,1223696883.733,11.637,27640915370.133,1.02,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,regex-redux,1112229.05,1.618,76.157,0.915,63.777,0.964,0.0,0.0,1.128,1.976,0.0,0.0,18029446612.433,1.376,96359369.85,12.836,25852829.333,6.303,1909972.1,9.859,196454615.2,0.672,0.0,0.0,27944843.733,25.409,804101303.467,13.883,10106502514.133,3.402,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,reverse-complement,103433.1,3.952,4.167,2.604,3.032,3.634,0.0,0.0,0.13,2.97,0.0,0.0,583466940.05,4.134,9318521.2,3.708,5099632.05,7.753,931790.65,3.271,633298.633,20.278,0.0,0.0,9566794.667,55.736,424890409.067,7.845,944482656.533,7.418,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cpp,spectral-norm,157581.383,9.139,17.11,6.655,15.396,6.518,0.0,0.0,0.092,18.185,0.0,0.0,7406938384.883,9.079,88335251.083,2.872,2339828.8,33.111,59234.083,161.613,607253.8,93.399,0.0,0.0,3813136.0,50.303,32207053.867,25.051,33883681.067,57.162,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,binary-trees,4372308.133,2.253,345.752,2.465,294.317,2.518,0.0,0.0,10.841,2.791,0.0,0.0,98572509057.917,3.198,1078973194.733,2.129,238041392.433,2.295,45092600.667,3.976,101466619.767,3.372,0.0,0.0,370089222.4,6.505,10526945681.6,3.997,20054452562.133,3.623,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,fannkuch-redux,2959139.267,0.719,346.654,0.618,313.918,0.613,0.0,0.0,1.723,3.861,0.0,0.0,146069687207.533,0.593,21561785.183,38.71,38936054.817,13.205,705112.017,67.309,2354379434.667,0.08,0.0,0.0,12079836.8,22.534,477593213.867,11.32,425180345.067,27.642,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,fasta,295595.933,1.522,23.52,1.687,20.262,1.921,0.0,0.0,0.237,7.457,0.0,0.0,4994342048.833,3.418,19649957.283,12.387,19259530.067,4.103,420329.0,31.744,56484003.767,1.373,0.0,0.0,29458577.6,24.677,481833287.467,10.931,1303635615.467,7.779,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,k-nucleotide,1046768.383,3.888,84.194,3.271,72.5,3.466,0.0,0.0,1.3,2.494,0.0,0.0,19785786792.283,4.581,337465800.467,4.299,32336407.0,5.111,3714369.85,9.491,49272420.933,2.057,0.0,0.0,32469184.533,28.838,869641101.333,14.554,5996566286.933,11.324,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,mandelbrot,1117181.917,2.499,124.873,2.492,112.525,2.497,0.0,0.0,0.681,3.532,0.0,0.0,50903791932.933,2.276,48243076.517,6.307,29478802.233,5.553,671466.5,24.095,30025855.317,6.531,0.0,0.0,17883877.867,25.5,327816745.6,14.561,677874197.867,9.185,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,n-body,3712888.517,0.288,138.318,1.51,97.242,2.065,0.0,0.0,2.154,2.403,0.0,0.0,17766120602.733,3.243,22792951.583,42.273,72967816.367,4.18,984797.85,57.817,10643929.133,27.574,0.0,0.0,109778313.067,17.938,2557506001.6,9.054,54429311846.933,0.773,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,pidigits,582385.0,1.282,22.548,1.001,16.127,1.548,0.0,0.0,0.344,1.642,0.0,0.0,2723641776.667,1.351,196000074.717,0.28,17329519.55,6.545,225406.183,15.681,3090171.633,5.468,0.0,0.0,22850364.8,24.886,596289950.933,15.035,8260245820.8,1.778,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,regex-redux,1427440.733,2.404,89.644,1.509,73.806,1.481,0.0,0.0,1.225,2.615,0.0,0.0,19710065715.1,1.886,92260949.933,7.481,45397038.5,4.288,2289460.2,9.937,199927137.583,0.747,0.0,0.0,55557085.867,15.521,1500530750.4,10.027,14141281538.667,3.951,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,reverse-complement,96286.1,6.002,4.873,3.697,3.824,3.473,0.0,0.0,0.106,5.143,0.0,0.0,829364063.833,7.22,7879411.967,5.651,9943077.0,4.2,780003.767,4.417,2087383.0,6.852,0.0,0.0,20137725.867,25.808,461263736.0,10.063,577632750.4,13.569,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,cs,spectral-norm,287642.683,3.897,27.781,2.311,24.623,2.353,0.0,0.0,0.181,10.165,0.0,0.0,10729183166.35,1.305,101751583.3,3.817,15805014.133,6.921,226950.8,64.281,3143955.817,27.151,0.0,0.0,17138768.0,39.328,527716443.2,7.842,445421985.6,32.373,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,binary-trees,1964450.033,1.356,180.843,1.828,157.307,1.957,0.0,0.0,6.072,1.166,0.0,0.0,57447815277.617,2.593,524430159.0,1.533,128572074.317,2.912,22980075.05,3.501,41337194.067,7.718,0.0,0.0,55594459.2,18.179,1558245795.2,10.262,6081642215.467,7.644,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,fannkuch-redux,3982494.267,0.511,441.695,0.432,397.608,0.453,0.0,0.0,2.354,1.732,0.0,0.0,182445314851.833,0.352,69207491.25,12.373,68449724.767,3.662,1311580.75,25.847,2336824718.833,0.159,0.0,0.0,30987164.267,29.715,664762378.133,10.301,930502423.467,21.605,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,fasta,349425.933,3.084,22.807,2.398,18.943,2.811,0.0,0.0,0.302,4.307,0.0,0.0,5499985700.35,3.208,43418385.25,4.737,47039085.833,2.118,909360.483,13.915,61879394.4,1.06,0.0,0.0,44255860.267,18.513,843620099.733,7.422,1962912773.867,8.452,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,mandelbrot,1541634.517,0.73,174.692,0.607,157.638,0.621,0.0,0.0,0.981,2.843,0.0,0.0,73233484606.833,0.658,72920850.7,7.223,47988042.033,4.256,1181345.95,21.094,22406482.433,8.018,0.0,0.0,28389788.267,23.649,585935116.267,7.917,449571925.333,20.66,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,n-body,3226676.383,0.231,123.981,1.138,88.278,1.55,0.0,0.0,1.905,1.922,0.0,0.0,15850470105.9,2.293,27889319.9,23.461,79638702.0,2.669,1204832.333,32.593,11667518.133,17.683,0.0,0.0,111111380.267,17.346,2412002009.067,9.954,46705348468.267,0.841,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,pidigits,681597.6,1.008,30.528,2.439,22.995,3.155,0.0,0.0,0.48,3.939,0.0,0.0,4229677212.467,4.656,301349136.667,1.139,71497637.983,3.269,1001609.3,20.063,14439280.567,7.397,0.0,0.0,109638369.067,43.994,869661282.667,9.715,8512856104.0,2.264,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,regex-redux,1517491.767,1.841,96.92,1.127,80.022,1.109,0.0,0.0,1.498,1.853,0.0,0.0,21752535623.883,1.625,138309512.117,3.493,107113849.783,3.939,4115929.467,5.376,214527385.417,0.699,0.0,0.0,138734605.333,35.283,1506966166.4,9.623,14484522712.533,3.33,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,reverse-complement,183337.25,6.535,8.464,3.393,6.431,4.51,0.0,0.0,0.225,3.662,0.0,0.0,1369914958.983,3.933,17073457.083,3.85,25239394.1,5.284,1189673.85,3.432,4485718.333,3.277,0.0,0.0,22784032.533,29.538,501917402.133,13.413,1722352606.4,8.014,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
process,java,spectral-norm,477639.833,15.756,48.528,15.412,43.254,15.372,0.0,0.0,0.341,14.066,0.0,0.0,19692097078.067,16.107,133760912.167,3.306,44156247.817,4.275,778865.533,23.664,7296212.483,15.937,0.0,0.0,75948689.6,17.049,468410521.067,19.365,306010770.667,18.791,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0

